year,state,month,number,date
1998,Acre,Jan,0,1/1/1998
1999,Acre,Jan,0,1/1/1999
2000,Acre,Jan,0,1/1/2000
2001,Acre,Jan,0,1/1/2001
2002,Acre,Jan,0,1/1/2002
2003,Acre,Jan,10,1/1/2003
2004,Acre,Jan,0,1/1/2004
2005,Acre,Jan,12,1/1/2005
2006,Acre,Jan,4,1/1/2006
2007,Acre,Jan,0,1/1/2007
2008,Acre,Jan,0,1/1/2008
2009,Acre,Jan,0,1/1/2009
2010,Acre,Jan,1,1/1/2010
2011,Acre,Jan,0,1/1/2011
2012,Acre,Jan,0,1/1/2012
2013,Acre,Jan,0,1/1/2013
2014,Acre,Jan,0,1/1/2014
2015,Acre,Jan,1,1/1/2015
2016,Acre,Jan,12,1/1/2016
2017,Acre,Jan,0,1/1/2017
1998,Acre,Feb,0,1/1/1998
1999,Acre,Feb,0,1/1/1999
2000,Acre,Feb,0,1/1/2000
2001,Acre,Feb,0,1/1/2001
2002,Acre,Feb,1,1/1/2002
2003,Acre,Feb,0,1/1/2003
2004,Acre,Feb,3,1/1/2004
2005,Acre,Feb,0,1/1/2005
2006,Acre,Feb,0,1/1/2006
2007,Acre,Feb,5,1/1/2007
2008,Acre,Feb,0,1/1/2008
2009,Acre,Feb,2,1/1/2009
2010,Acre,Feb,0,1/1/2010
2011,Acre,Feb,0,1/1/2011
2012,Acre,Feb,0,1/1/2012
2013,Acre,Feb,0,1/1/2013
2014,Acre,Feb,0,1/1/2014
2015,Acre,Feb,2,1/1/2015
2016,Acre,Feb,5,1/1/2016
2017,Acre,Feb,1,1/1/2017
1998,Acre,March,0,1/1/1998
1999,Acre,March,0,1/1/1999
2000,Acre,March,11,1/1/2000
2001,Acre,March,0,1/1/2001
2002,Acre,March,0,1/1/2002
2003,Acre,March,0,1/1/2003
2004,Acre,March,0,1/1/2004
2005,Acre,March,3,1/1/2005
2006,Acre,March,0,1/1/2006
2007,Acre,March,2,1/1/2007
2008,Acre,March,0,1/1/2008
2009,Acre,March,1,1/1/2009
2010,Acre,March,0,1/1/2010
2011,Acre,March,0,1/1/2011
2012,Acre,March,1,1/1/2012
2013,Acre,March,2,1/1/2013
2014,Acre,March,1,1/1/2014
2015,Acre,March,2,1/1/2015
2016,Acre,March,0,1/1/2016
2017,Acre,March,0,1/1/2017
1998,Acre,April,0,1/1/1998
1999,Acre,April,0,1/1/1999
2000,Acre,April,1,1/1/2000
2001,Acre,April,0,1/1/2001
2002,Acre,April,0,1/1/2002
2003,Acre,April,1,1/1/2003
2004,Acre,April,2,1/1/2004
2005,Acre,April,1,1/1/2005
2006,Acre,April,0,1/1/2006
2007,Acre,April,0,1/1/2007
2008,Acre,April,0,1/1/2008
2009,Acre,April,0,1/1/2009
2010,Acre,April,3,1/1/2010
2011,Acre,April,2,1/1/2011
2012,Acre,April,1,1/1/2012
2013,Acre,April,19,1/1/2013
2014,Acre,April,7,1/1/2014
2015,Acre,April,3,1/1/2015
2016,Acre,April,0,1/1/2016
2017,Acre,April,1,1/1/2017
1998,Acre,May,0,1/1/1998
1999,Acre,May,0,1/1/1999
2000,Acre,May,1,1/1/2000
2001,Acre,May,0,1/1/2001
2002,Acre,May,0,1/1/2002
2003,Acre,May,6,1/1/2003
2004,Acre,May,7,1/1/2004
2005,Acre,May,2,1/1/2005
2006,Acre,May,8,1/1/2006
2007,Acre,May,1,1/1/2007
2008,Acre,May,0,1/1/2008
2009,Acre,May,3,1/1/2009
2010,Acre,May,9,1/1/2010
2011,Acre,May,3,1/1/2011
2012,Acre,May,3,1/1/2012
2013,Acre,May,4,1/1/2013
2014,Acre,May,1,1/1/2014
2015,Acre,May,2,1/1/2015
2016,Acre,May,21,1/1/2016
2017,Acre,May,10,1/1/2017
1998,Acre,June,3,1/1/1998
1999,Acre,June,0,1/1/1999
2000,Acre,June,1,1/1/2000
2001,Acre,June,1,1/1/2001
2002,Acre,June,0,1/1/2002
2003,Acre,June,0,1/1/2003
2004,Acre,June,5,1/1/2004
2005,Acre,June,27,1/1/2005
2006,Acre,June,1,1/1/2006
2007,Acre,June,4,1/1/2007
2008,Acre,June,0,1/1/2008
2009,Acre,June,0,1/1/2009
2010,Acre,June,1,1/1/2010
2011,Acre,June,10,1/1/2011
2012,Acre,June,7,1/1/2012
2013,Acre,June,8,1/1/2013
2014,Acre,June,17,1/1/2014
2015,Acre,June,40,1/1/2015
2016,Acre,June,87,1/1/2016
2017,Acre,June,45,1/1/2017
1998,Acre,July,37,1/1/1998
1999,Acre,July,1,1/1/1999
2000,Acre,July,1,1/1/2000
2001,Acre,July,3,1/1/2001
2002,Acre,July,39,1/1/2002
2003,Acre,July,168,1/1/2003
2004,Acre,July,42,1/1/2004
2005,Acre,July,368,1/1/2005
2006,Acre,July,33,1/1/2006
2007,Acre,July,29,1/1/2007
2008,Acre,July,41,1/1/2008
2009,Acre,July,31,1/1/2009
2010,Acre,July,126,1/1/2010
2011,Acre,July,93,1/1/2011
2012,Acre,July,71,1/1/2012
2013,Acre,July,54,1/1/2013
2014,Acre,July,60,1/1/2014
2015,Acre,July,109,1/1/2015
2016,Acre,July,533,1/1/2016
2017,Acre,July,457,1/1/2017
1998,Acre,Aug,130,1/1/1998
1999,Acre,Aug,63,1/1/1999
2000,Acre,Aug,136,1/1/2000
2001,Acre,Aug,396,1/1/2001
2002,Acre,Aug,728,1/1/2002
2003,Acre,Aug,1.976,1/1/2003
2004,Acre,Aug,645,1/1/2004
2005,Acre,Aug,4.198,1/1/2005
2006,Acre,Aug,839,1/1/2006
2007,Acre,Aug,960,1/1/2007
2008,Acre,Aug,445,1/1/2008
2009,Acre,Aug,194,1/1/2009
2010,Acre,Aug,1.682,1/1/2010
2011,Acre,Aug,425,1/1/2011
2012,Acre,Aug,739,1/1/2012
2013,Acre,Aug,679,1/1/2013
2014,Acre,Aug,1.1,1/1/2014
2015,Acre,Aug,1.397,1/1/2015
2016,Acre,Aug,2.188,1/1/2016
2017,Acre,Aug,1.493,1/1/2017
1998,Acre,Sept,509,1/1/1998
1999,Acre,Sept,209,1/1/1999
2000,Acre,Sept,265,1/1/2000
2001,Acre,Sept,290,1/1/2001
2002,Acre,Sept,1.949,1/1/2002
2003,Acre,Sept,3.942,1/1/2003
2004,Acre,Sept,1.978,1/1/2004
2005,Acre,Sept,4.253,1/1/2005
2006,Acre,Sept,2.37,1/1/2006
2007,Acre,Sept,2.08,1/1/2007
2008,Acre,Sept,1.666,1/1/2008
2009,Acre,Sept,1.265,1/1/2009
2010,Acre,Sept,2.531,1/1/2010
2011,Acre,Sept,1.204,1/1/2011
2012,Acre,Sept,1.996,1/1/2012
2013,Acre,Sept,2.136,1/1/2013
2014,Acre,Sept,2.175,1/1/2014
2015,Acre,Sept,2.928,1/1/2015
2016,Acre,Sept,3.586,1/1/2016
2017,Acre,Sept,3.429,1/1/2017
1998,Acre,Oct,44,1/1/1998
1999,Acre,Oct,60,1/1/1999
2000,Acre,Oct,18,1/1/2000
2001,Acre,Oct,137,1/1/2001
2002,Acre,Oct,687,1/1/2002
2003,Acre,Oct,740,1/1/2003
2004,Acre,Oct,461,1/1/2004
